Game Title,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer,score,players,critics,users,Platform,Review
.hack//Infection Part 1,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,CyberConnect2,75,1 Player,35,69,PS2,76.33
007: Quantum of Solace,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,Treyarch,70,Up to 12 ,18,64,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,Treyarch,70,Up to 12 ,18,64,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,Treyarch,65,Up to 12 ,69,84,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,Treyarch,65,Up to 12 ,69,84,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,Treyarch,65,No info,10,0,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,Treyarch,65,No info,10,0,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,Treyarch,65,Up to 12 ,42,59,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,Treyarch,65,Up to 12 ,42,59,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,Treyarch,54,No info,11,27,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,Treyarch,54,No info,11,27,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,Treyarch,70,Up to 12 ,18,64,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,Treyarch,70,Up to 12 ,18,64,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,Treyarch,65,Up to 12 ,69,84,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,Treyarch,65,Up to 12 ,69,84,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,Treyarch,65,No info,10,0,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,Treyarch,65,No info,10,0,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,Treyarch,65,Up to 12 ,42,59,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,Treyarch,65,Up to 12 ,42,59,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,Treyarch,54,No info,11,27,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,Treyarch,54,No info,11,27,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,Treyarch,70,Up to 12 ,18,64,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,Treyarch,70,Up to 12 ,18,64,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,Treyarch,65,Up to 12 ,69,84,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,Treyarch,65,Up to 12 ,69,84,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,Treyarch,65,No info,10,0,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,Treyarch,65,No info,10,0,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,Treyarch,65,Up to 12 ,42,59,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,Treyarch,65,Up to 12 ,42,59,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,Treyarch,54,No info,11,27,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,Treyarch,54,No info,11,27,PS3,67.17
007: Quantum of Solace,2008,Action,Activision,0.01,0.01,0.0,0.0,0.03,Treyarch,70,Up to 12 ,18,64,X360,68.73
007: Quantum of Solace,2008,Action,Activision,0.01,0.01,0.0,0.0,0.03,Treyarch,70,Up to 12 ,18,64,PS3,67.17
