Rank;Sport;Number of fans
1;Football;4,000,000,000
2;Basketball;3,000,000,000
3;Cricket;2,500,000,000
4;Hockey;2,200,000,000
5;Tennis;1,000,000,000
6;Volleyball;900,000,000
7;Table tennis;850,000,000
8;Mixed Martial Arts;550,000,000
9;Baseball;510,000,000
10;American Football;411,000,000
11;Rugby;405,000,000
12;Golf;400,000,000
13;Athletics;390,000,000
14;Badminton;381,000,000
15;Boxing;350,000,000
16;Formula One;333,000,000
17;MotoGP;315,000,000
18;Cycling;300,000,000
19;Swimming;
20;Snooker;250,000,000
21;Shooting;
22;Gymnastics;
23;Handball;100,000,000
24;Wrestling;50,000,000
25;Skiing;45,000,000
26;Horse racing;42,000,000
27;Hurling;
28;Pickleball;
29;Water Polo;40,000,000
30;Bowling;30,000,000
